ID;EXTERNAL_ID;Успешных платежей за 180 дней
223;3@3|phiz-gate-iqwave;9816412
206;2@2|phiz-gate-iqwave;8431246
39547;226@226|phiz-gate-iqwave;6092989
211;20@20|phiz-gate-iqwave;2898389
205;1@1|phiz-gate-iqwave;2449800
203;44@44|phiz-gate-iqwave;1840349
222;10@10|phiz-gate-iqwave;1488386
210;13@13|phiz-gate-iqwave;1455338
6018;11@11|phiz-gate-iqwave;1433781
304;23@23|phiz-gate-iqwave;1027482
1746;72@72|phiz-gate-iqwave;875467
672;15@15|phiz-gate-iqwave;734038
303;22@22|phiz-gate-iqwave;677029
225;7@7|phiz-gate-iqwave;593123
202;19@19|phiz-gate-iqwave;565113
6702;190@190|phiz-gate-iqwave;552980
302;8@8|phiz-gate-iqwave;501586
6021;184@184|phiz-gate-iqwave;456221
224;18@18|phiz-gate-iqwave;392840
213;17@17|phiz-gate-iqwave;221958
1373;21@21|phiz-gate-iqwave;200750
41759;921_92101_00_05@921|urn:sbrfsystems:16-cpfl;188085
15030;185@185|phiz-gate-iqwave;141816
2030;55@55|phiz-gate-iqwave;130956
654;41@41|phiz-gate-iqwave;126738
49492;9859923279@7646925335|urn:sbrfsystems:49-ufo;118012
212;148@148|phiz-gate-iqwave;114853
41750;500020_98401_00_05@500020|urn:sbrfsystems:16-cpfl;113818
39823;VTK0@VTK0|urn:sbrfsystems:42-yenisei;111587
226;14@14|phiz-gate-iqwave;110036
241;147@147|phiz-gate-iqwave;109761
209;9@9|phiz-gate-iqwave;104149
221;39@39|phiz-gate-iqwave;101552
17274;420011_99@OAO_NTEK|urn:sbrfsystems:42-yenisei;97134
30368;0_70000_00_06@0|urn:sbrfsystems:40-cpfl;87985
62947;48613_27001_00_07@48613|urn:sbrfsystems:44-cpfl;87827
28051;SBK@SBK|urn:sbrfsystems:42-yenisei;84617
14898;40040_60991_00_07@40040|urn:sbrfsystems:40-cpfl;80725
45795;93610610@93788995|urn:sbrfsystems:55-isppn;79510
17364;192@192|phiz-gate-iqwave;78909
204;4@4|phiz-gate-iqwave;70345
6014;82@82|phiz-gate-iqwave;70275
38674;6212255500@6212250014|urn:sbrfsystems:49-ufo;57343
33218;-1@-1|urn:sbrfsystems:02-isppn:2;54043
216;94@94|phiz-gate-iqwave;53081
80657;11201431131@7646925335|urn:sbrfsystems:49-ufo;52922
41399;BT8635@ASBC|phiz-gate-cpfl-dvb;49976
54714;11210597431@7646925335|urn:sbrfsystems:49-ufo;48492
18433;ADBC9070@ASBC|phiz-gate-cpfl-dvb;48209
110770;GIBDD@2742|urn:sbrfsystems:99-rbc;46775
215;61@61|phiz-gate-iqwave;46644
44498;44893252@54275852|urn:sbrfsystems:55-isppn;46342
45636;84097031@95272762|urn:sbrfsystems:55-isppn;45003
44331;36104891@46897959|urn:sbrfsystems:55-isppn;44914
29721;ER_TEL@ERT_TEL|urn:sbrfsystems:42-yenisei;44494
46717;7275187045@3102663516|urn:sbrfsystems:49-ufo;43973
35411;218@218|phiz-gate-iqwave;43530
301;ENER_KRA@3102_ENER|phiz-gate-enisey;43255
29328;AAMUPR93@ASBC|phiz-gate-cpfl-dvb;42179
14749;AAT9070@ASBC|phiz-gate-cpfl-dvb;42146
37346;3014758001@3014757999|urn:sbrfsystems:49-ufo;40690
72912;130247170@130748144|urn:sbrfsystems:52-isppn;40591
14878;40041_60981_00_07@40041|urn:sbrfsystems:40-cpfl;39880
45813;9591362@26536529|urn:sbrfsystems:55-isppn;38328
38582;5559090692@3014756115|urn:sbrfsystems:49-ufo;37849
50586;1000275_96101_00_05@1000275|urn:sbrfsystems:16-cpfl;37008
40565;45333_31821_00_07@45333|urn:sbrfsystems:44-cpfl;34363
14747;AAGAZHK90@ASBC|phiz-gate-cpfl-dvb;33414
63322;TAR_MAM@TAR_MAM|urn:sbrfsystems:42-yenisei;31733
218;134@134|phiz-gate-iqwave;31723
6256;35@35|phiz-gate-iqwave;30182
110744;Credit_BIC@5427|urn:sbrfsystems:99-rbc;29656
109174;84096992@95231745|urn:sbrfsystems:55-isppn;29166
187;30341144@32137249|phiz-gate-gorod;29021
11961;31284982@31301747|phiz-gate-cpfl-skb;28629
37971;3219581627@3190058390|urn:sbrfsystems:49-ufo;28399
28571;196@196|phiz-gate-iqwave;27730
5805;101@101|phiz-gate-iqwave;27487
39245;9871783397@3444149657|urn:sbrfsystems:49-ufo;27423
81433;GTS9070@ASBC|phiz-gate-cpfl-dvb;27385
19299;660640000_62001_00_07@660640000|urn:sbrfsystems:40-cpfl;26958
45082;6252640@26532106|urn:sbrfsystems:55-isppn;26945
37717;3187329883@3187329867|urn:sbrfsystems:49-ufo;26119
45456;77734427@77738318|urn:sbrfsystems:55-isppn;26035
45083;6252658@26535855|urn:sbrfsystems:55-isppn;25942
110772;MGTS@4566|urn:sbrfsystems:99-rbc;25657
56074;77133539@77138775|phiz-gate-cpfl-skb;25517
38301;3644742375@3644741869|urn:sbrfsystems:49-ufo;24946
28968;TAR_GASSH@TAR_GASSH|urn:sbrfsystems:42-yenisei;24717
110746;Credit_BNP_VOST@5431|urn:sbrfsystems:99-rbc;24582
12395;07637_40200_00_01@07637|phiz-gate-cpfl;24197
89072;164975-46@164975-46|urn:sbrfsystems:54-asbil;23953
1445;125694537@125694570|phiz-gate-gorod;23637
47059;115_00407_00_01@115|phiz-gate-cpfl-cchb;23572
1129;!OPF_PLAT@SNILS_P|phiz-gate-enisey;23205
183;35845715@36837313|phiz-gate-gorod;22377
57369;KRV_RTL@KRV_RTL|urn:sbrfsystems:42-yenisei;22211
19484;800000002_62521_00_07@800000002|urn:sbrfsystems:40-cpfl;22196
736;403@93|phiz-gate-iqwave;22179
78630;13865394646@13865297128|urn:sbrfsystems:49-ufo;21947
50587;1000299_96041_00_05@1000299|urn:sbrfsystems:16-cpfl;21864
101227;144898-11@144898-11|urn:sbrfsystems:54-asbil;21790
19300;660640001_62221_00_07@660640001|urn:sbrfsystems:40-cpfl;21754
51807;11420771664@9399950874|urn:sbrfsystems:49-ufo;21106
104529;86595-54@86595-54|urn:sbrfsystems:54-asbil;21020
82612;MRL_SITE@MRL_SITE|urn:sbrfsystems:42-yenisei;20711
33404;49366_23308_00_07@49366|urn:sbrfsystems:44-cpfl;20419
47051;10927101199@10927092671|urn:sbrfsystems:49-ufo;19923
23988;2781312@13536378|phiz-gate-cpfl-skb;19735
45528;79925150@79925592|urn:sbrfsystems:55-isppn;19699
