/mobile/confirm/login.do;Получение SMS для подтверждания входа/Подтверждение входа SMS-паролем ;R;nonFinancial
/mobile/error.do;Сбой в работе системы;R;nonFinancial
/mobile/login.do;Аутентификация (вход клиента в систему);R;nonFinancial
/mobile/private/accounts/abstract.do;Выписка по вкладу;R;nonFinancial
/mobile/private/accounts/info.do;Детальной информации по вкладу;R;nonFinancial
/mobile/private/accounts/print.do;Получение расширенной выписки по картам;R;nonFinancial
/mobile/private/billing/payments.do;Получение списка доступных поставщиков услуг;R;nonFinancial
/mobile/private/cards/abstract.do;Выписка по карте;R;nonFinancial
/mobile/private/cards/info.do;Детальная информации по карте;R;nonFinancial
/mobile/private/loans/info.do;Детальная информация по кредиту;R;nonFinancial
/mobile/private/news/list.do;Получение списка новостей;R;nonFinancial
/mobile/private/news/view.do;Получение полного текста новости;R;nonFinancial
/mobile/private/payments/confirm.do;Подтверждение платежа;R;nonFinancial
/mobile/private/payments/list.do;История операций;R;nonFinancial
/mobile/private/payments/payment.do;Перевод между своими счетами;R;nonFinancial
/mobile/private/payments/payments.do;Получение списка шаблонов платежей;R;nonFinancial
/mobile/private/payments/view.do;Информация по платежу;R;nonFinancial
/mobile/private/products/list.do;Получение списка продуктов;R;nonFinancial
/mobile/private/rates/list.do;Получение курсов валют;R;nonFinancial
accountBalanceDemand_q;Баланс по счету (ШЭСК);R;nonFinancial
accountInfoDemand_q;Информация по счету (ШЭСК);R;nonFinancial
AcctInfoRq;Детальная информация по вкладу;R;nonFinancial
AcctInqRq;Получение остатка по вкладу, ОМС или карте;R;nonFinancial
agreementCancellation_q;Расторжение договора по инициативе клиента (ШЭСК);R;nonFinancial
agreementCancellationMandatory_q;Расторжение договора по инициативе банка (ШЭСК);R;nonFinancial
agreementRegistration_q;Заключение договора (ШЭСК);R;nonFinancial
AutoPayListRequest;Получение списка автоплатежей в пользу МТС (IQWave);R;nonFinancial
BankAcctInqRq;Получение списка продуктов;R;nonFinancial
BankAcctPermissModRq;Изменение видимости счетов в УКО;R;nonFinancial
BankAcctStmtImgInqRq;Отправка отчета по счету карты на e-mail;R;nonFinancial
BankAcctStmtInqRq;Получение мини-выписки по ОМС;R;nonFinancial
billingDemand_q;Получения расширенной выписки по вкладу (ШЭСК);R;nonFinancial
CardAcctDInqRq;Получение детальной информации по карте ;R;nonFinancial
CardBlockRq;Заявка на блокировку карты;R;nonFinancial
CardToCardRequest;Перевод с карты на карту (IQWave);R;financial
CCAcctExtStmtInqRq;Расширенная выписка по карте;R;nonFinancial
CurListInqRq;Загрузка курсов валют (из шины в ЕРИБ);R;nonFinancial
DepAcctStmtInqRq;Получение выписки по вкладу ;R;nonFinancial
DepoClientRegRq;Регистрация клиента в Депозитарии;R;nonFinancial
executeBillingPayment;Выполнение биллингового платежа со счета (ШЭСК, кроме Москвы);R;nonFinancial
executePayment_q;Выполнение платежа в пользу юр.лиц со вклада (ШЭСК);R;nonFinancial
FreePaymentRequest;Выполнение платежа ФНС либо ОЗОН (IQWave);R;financial
FreePaymentResponse;Отчет об исполнении платежа ФНС либо ОЗОН (IQWave);A;financial
ImaAcctInRq;Получение детальной информации по ОМС ;R;nonFinancial
listener;Подтверждение списания средств со вклада и т.п. (от ШЭСК в ЕРИБ) ;R;nonFinancial
LoanInfoRq;Получение информации по кредиту ;R;nonFinancial
LoanInqRq;Получение задолженности по кредиту ;R;nonFinancial
LoanPaymentRq;"Получение графика платежей по кредиту (КЗ ""КФЛ"" СРБ)";R;nonFinancial
lossingPassbook_q;Заявка на утерю сберкнижки;R;nonFinancial
ns0:CheckSessionRq;Получение информации о клиенте (ФИО, ДУЛ, дата рождения) по токену входа (CSA);R;nonFinancial
ns0:GeneratePasswordRq;Генерация нового постоянного пароля (IPass);R;nonFinancial
ns0:MoveSessionRq;Получение токена переадресации клиента в СБОЛ ЦА (для карточных клиентов) (CSA);R;nonFinancial
ns0:PrepareOTPRq;Получение номера одноразового пароля с чека (IPass);R;nonFinancial
ns0:VerifyOTPRq;Проверка введенного одноразового пароля с чека (IPass);R;nonFinancial
ns0:VerifyPasswordRq;Проверка введенного постоянного пароля (IPass);R;nonFinancial
OperStatusRequest;Проверка статуса платежа (IQWave);R;nonFinancial
PaymentDebtsFnsRequest;Получение задолженности по поставщику ФНС (не через сайт ФНС) (IQWave);R;nonFinancial
PaymentDebtsGkhRequest;Получение задолженности по поставщику ЕИРЦ (IQWave);R;nonFinancial
PaymentDebtsMgtsRequest;Получение задолженности по поставщику МГТС (IQWave);R;nonFinancial
PaymentFnsRequest;Оплата услуг поставщика ФНС (не через сайт ФНС) (IQWave);R;nonFinancial
PaymentFnsResponse;Получение статуса платежа для поставщика ФНС (IQWave);A;nonFinancial
PaymentGkhRequest;Оплата услуг поставщика ЕИРЦ (IQWave);R;nonFinancial
PaymentGkhResponse;Получение статуса платежа для поставщика ЕИРЦ (IQWave);A;nonFinancial
PaymentMgtsRequest;Оплата услуг поставщика МГТС (IQWave);R;nonFinancial
PaymentMgtsResponse;Получение статуса платежа для поставщика МГТС  (IQWave);A;nonFinancial
PaymentMosenergoRequest;Оплата услуг поставщика МосЭнерго  (IQWave);R;nonFinancial
PaymentMosenergoResponse;Получение статуса платежа для поставщика МосЭнерго  (IQWave);A;nonFinancial
PfrHasInfoInqRq;Выписка с лицевого счета клиента в ПФР;R;nonFinancial
preparePaymentDemand_q;Перерасчет платежа (ЦПФЛ);R;nonFinancial
recipientListDemand_q;Получение списка поставщиков услуг (ЦПФЛ);R;nonFinancial
ServiceStmtRq;Получение графика исполнения регулярной операции;R;nonFinancial
SimplePaymentRequest;Выполнение платежа федеральному поставщику (IQWave);R;financial
SimplePaymentResponse;Получение статуса платежа  (IQWave);A;financial
stoplist;Проверка клиента по стоп-листу ;R;nonFinancial
SvcAcctAudRq;Получение информации по регулярной операции;R;nonFinancial
SvcAddRq;Создание регулярной операции на перевод денег с вклада физ. лицу;R;nonFinancial
transferAccountToAccountDemand_q;Перевод со вклада на вклад физ.лицу в Сбербанке (ШЭСК);R;financial
